name,start,end,station,id,similarity
Atlanta Beltline,2009,2012,USW00013874,14,0.300
Madrid Rio,2003,2011,SPE00120278,4,0.300
Rose Kennedy Greenway,1991,2008,USW00014739,1,0.800
Sonder Boulevard,2004,2020,DA000030380,7,0.800
Cuernavaca Railway Linear Park,2016,2017,MXN00009043,6,0.400
NOLA Lafitte Greenway,2014,2015,USW00053917,13,0.400
Seoullo 7017,2015,2017,KS000047112,5,0.400
Chicago 606,2013,2015,USW00014819,12,0.500
Superkilen,2010,2012,DA000030380,17,0.900
Lexington Town Branch Commons,2018,2022,USW00093820,3,0.600
La Coulee Verte de Colombes,1995,2006,FRM00007150,10,0.600
Bath Linear Park,2010,,GMM00010385,19,0.400
High Line,2006,2014,USW00094728,22,0.800
Promenade Plantee,1988,2000,FR069029001,23,0.800
Menomonee Valley,,2012,USW00014839,26,0.700
Allegheny Riverfront Park,1994,2001,USW00014762,29,0.900
Guadaulpe River Park,1992,2005,USW00023293,30,0.600
Berges du Rhone,2005,2007,FRM00007150,31,0.800
Berges de la Seine,,2013,FRM00007150,32,0.600
Anacostia Riverwalk Trail,2007,2020,USW00013743,39,0.300
Parc de la Rambla de Sants,2015,2016,SP000008181,49,0.600
Beltline Linear Park,,,CA006158731,52,0.400
Parc Lineaire de la Riviere Saint-Charles,,2008,CA00701S001,53,0.200
Midtown Greenway,1993,2000,USW00014922,57,1.000
Linea Verde,2011,2013,USW00023234,61,0.500
Parque Linear Tiquatira,2003,2007,BR00E3-1520,62,0.600
Gyeongchun Line Forest Park,2010,2019,KS000047112,66,0.700
Gyeongui Line Forest Park,2010,2016,KS000047112,67,0.400
The Goods Line,2012,2015,ASN00066037,68,0.700
